username,products,date,helpfulness,recommendation,hours_played,body
"☣Trinova☣","242 products in account","Posted: May 5, 2016","10 of 13 people (77%) found this review helpful
1 person found this review funny","Recommended","30.9 hrs on record","Posted: May 5, 2016
												This is the best RPG Maker software yet and they are continuing to support it. I recommend this version over all the rest if you want to share your game with the most people."
"HappyDannyLovely","55 products in account","Posted: November 26, 2016","3 of 4 people (75%) found this review helpful
1 person found this review funny","Recommended","102.4 hrs on record","Posted: November 26, 2016
												I rather enjoy it. I got it on sale. I wouldn't quite recommend it at full price, unless you really want this engine that badly. Still, it's a fairly excellent engine. As I'm writing this review, there are a ridiculous amount of free plugins, and some even came with the engine. The plugins are a fun and easy method to customize your game when compared to the scripting methods of previous engines. I actually like the basic tilesets and music, even though I want more and more variety. Luckily, there are plenty of free resources to find on the Internet if you look hard enough. There is also a bunch of DLC on Steam if you're willing to fork over some cash. The Steam Workshop also has a few things. As time goes on, the RPG Maker community will no doubt provide you with more to work with. Now, if you don't know anything about how to use an RPG Maker engine, especially not this MV version, then go to YouTube. There are quite a few fun tutorials to watch. Some are broad and some are very specific. This engine itself runs beautifully with my crappy toaster of a computer. So, there's that. My favorite thing to do with this engine is mapping. Just ... mapping. It pleases my brain."
"Catpurple","896 products in account","Posted: October 26, 2015","2 of 2 people (100%) found this review helpful","Recommended","55.8 hrs on record","Posted: October 26, 2015
												This software has been getting an undeserved amount of flak in these reviews; in my honest opinion having played around with VX Ace and XP (not all on steam however), this is probably the most powerful RPG Maker yet.

Pros:-Javascript. I know a lot of people are upset about it having very little compatibility with Ruby like the last RPG Makers, but these new Javascript plugins are insanely powerful. Earlier today I met someone who was able to get their project sending data back and forth to an online server, something no RPG maker game has *ever* been able to do in the past. It may be far too taxing to develop an actual online RPG Maker game, but online features to some extent are a definite possibility now, and that's great. Moreover, Javascript is a much more commonly-used language than Ruby ever was, and there are no more hidden classes limiting the scope of scripts, and far fewer hard-coded limitations.

-Plugin manager to easily import and control your plugins. Keep in mind that script order does still matter, but the only way to move plugins up or down is to cut and paste them elsewhere in the list. ""Move Plugin Up or Down"" buttons are not included.

-All of the same features of VX Ace, plus larger tile size and screen resolution and a smarter map-editor. Or, if you don't want the larger sizes, you can go back to 32x tiles and the smaller res of VX Ace with some of the preorder javascript plugins, all of which you can find online for free with the same terms of use if you did not preorder.



Cons:-Clarity. This is the biggest reason for the number of negative reviews. The developers of the software have not been as clear in communicating their product's features as they could have. For instance, they advertised android/iOS porting, and people assumed they would be getting an automated tool that did everything for them. However, this is not the case, and falls on both the end user's expectations and the company failing to clarify that only a simple step-by-step guide would be provided for this purpose, rather than an automated too.

-[Pending an update] Day One problems. There aren't lots of pre-made database entries out of the box. As I understand it, the game was released in English before everything was fully localized, so the starting database has very little pre-made content to use. However, all of the resources to make content are there. And the pre-order DLC is in the install folder, giving even more content. The developers intend to update this and fully complete the localization in the future. Moreover, some are getting weird performance errors the developers didn't expect. Again, they intend to fix as many of these issues as they can.

-No resource manager. This might be a turn off for some, because it was such a nice feature of VX Ace, but I feel this isn't a major issue.



Overall:This is overall the best RPG Maker iteration yet, mostly because of the more open feel to scripting, and the great amount of documentation for the features of the engine and the javascript methods to use, all by pressing F1 in the editor to open the expansive help page. Moreover, the preorder plugins made by yanfly and so many others all have documentation of their own, with Yanfly having made tens of videos going in-depth on tips and tricks to do with their plugins and how to best use everything that's there."
"Louise Francoise de La Vallièr","53 products in account","Posted: October 24, 2015","188 of 279 people (67%) found this review helpful
15 people found this review funny","Not Recommended","26.3 hrs on record","Posted: October 24, 2015
												This program isn't able to create an .apk file for android.
You just get the files, you have to create an .apk with additional software (python + java + android SDK + several different steps to do) by YOURSELFE.
This iformation is shown in the help (F1) at the point: ""Documentation -> Converting to an Android App"".

For a 70€ program that says in the advertisement that you can build an RPG easy for android and so on (for children), it isn't!

Because I get more and more answers to my review which say: ""you didn't expect to have to download the Android SDK and required tools for compiling to the Android platform?""
No I didn't, because the publisher of this product present his software like: supporting and create games for android / iOS, easy for a child. It isn't said that you need additional software. IT's shown as you have to click on a button to compiling to an android / iOS app."
"BossGalaga","357 products in account","Posted: October 26, 2015","18 of 22 people (82%) found this review helpful
2 people found this review funny","Recommended","140.6 hrs on record","Posted: October 26, 2015
												I've been watching RPG Maker grow up since RM2K and it's definitely come a long way.  Let me tell you what RPG Maker is. It is an exceedingly awesome tool for making 2D JRPG style games. If you want to make your own Skyrim, this isn't the engine you're looking for...but people have created all kinds of amazing things with RPG Maker, diablo/baldur-like games, puzzle games, hidden object/visual novel, shoot-em-ups, arcade games, platformers and more.  For people who can think outside the box and don't limit themselves to the default artwork the possibilities are nearly endless. RPG Maker games with artwork reminiscent of MS Paint have achieved massive popularity and even commercial success. Lisa is just one example of many.

With MV moving from Ruby based scripting to Javascript, it opens up a whole new realm of possibilities. That said, ""Simple enough for a child"" may be a tad bit of hype. Your 3 year old? No. But a bright inquisitive 8 year old with a little help and encouragement? Definitely.

The RPGMakerWeb forums have a massive wealth of knowledge and if you're new to RPG Maker check out Kelsper's Beginner's Guide to RPG Maker VX Ace. There have been some changes but most of it still applies. This guide will answer most newcomers' questions and give you a solid base to work from.
http://forums.rpgmakerweb.com/index.php?/topic/1249-beginnergeneral-beginners-guide-to-rpg-maker-vx-ace/

One of the biggest selling points is the added export capabilities to mobile platforms as well as PC and Mac with no additional cost like many game engines have. MV still has some bugs to iron out of course and if you don't need those additional options and already have a previous version of RPG Maker, then maybe stick with that and wait for a sale, but I wouldn't expect one until the later half or end of 2016.

Do people make bad RPG Maker games? God, yes. On an industrial scale. More than you could play in a lifetime. It's not RPG Maker's fault. But, people also make a lot of really awesome games. And some games that you can't even tell were made with RPG Maker. And some of those ""bad games"" are actually some of the most popular!

What is RPG Maker? ""A world without rules and controls, without borders or boundaries. A world where anything is possible. Where we go from there...is a choice I leave to you."" -Neo (that guy from Point Break that couldn't shoot Patrick Swayze)"
"24spencer","220 products in account","Posted: 3 May, 2016","175 of 184 people (95%) found this review helpful
8 people found this review funny","Recommended","46.2 hrs on record","Posted: 3 May, 2016
												I wholeheartedly recommend RPG Maker MV as a starter software for anyone who is interested in making a game.
I see a lot of people who recommend Unity, or Unreal Engine as ""easy"" tools for beginners, but both of those require a decent coding knowledge of some description (well, Unreal Engine 4 not so much) and on top of that you will need to make your own assets for the game to be high-quality, unless you want to purchase an asset pack off someone else.

RPG Maker requires zero coding experience, just patience and understanding. The eventing system, while it takes a bit of time to fully figure out (Self switches and ""delete event"" commands reset after you change map - I learned that the hard way and had to change a large amount of my story triggers), is very simple to use, but allows for (functionally) limitless possibilities. 

Improvements over VX Ace, the previous iteration of the software, include (for those interested):
- Changing the nightmare-inducing front portrait character generator to a side portrait one, allowing you to create much                                more aesthetically pleasing character portraits. 
- Native Sideview Battle mode, no longer requiring custom scripting.
-Significantly improved OST, with much improved themes for everything.
-Javascript instead of Ruby (kind of a big deal, plugins are now able to do a lot more)
-Export to pretty much anything (Browser, Android, IOS, Windows etc.) whereas VX Ace only supported Windows (I think)
-Modern Tilesets/assets provided with the base game - no more reliance on custom content for a modern-themed RPG.
-Various QoL improvements (showing you where the dialog window cuts off when editing, so you don't accidentally have your text not showing properly ingame because you forgot to hit enter)
-Native Touch/Mouse control support.

If you can't afford it at base price (it is pretty expensive, to be fair) you can wait for a sale, and I'm told that key reseller websites sell it for a much lower price (about 50% cheaper), but use those at your own risk.

Either way, this is a brilliant tool for anyone interested in game design, beginner or otherwise. (I might go as far as to say it is the tool to start with for those who are interested in game development but have little/no coding knowledge.

Definitely Recommend."
"cyberwaffle","38 products in account","Posted: September 3, 2016","7 of 7 people (100%) found this review helpful","Recommended","76.2 hrs on record","Posted: September 3, 2016
												I want to say that this really is an amazing game maker it actually has a lot of versatility, and I am very impressed. 

A couple things I want to say for people reading this: 

If you are the kind of person who starts something and doesn't finish it you probably won't like it.

If you are the kind of person who needs instant gratification, and need there to be action right then you probably won't like it either

For those of you who have no experience in game making like me, you can still make a pretty good game with just a little practice, and there are plenty of guides out there so don't let that stop you. For those of you who have experience game making that helps too.

I also want to say that if you want to make your own graphics for your game though and not use other people's you need to be able to use photoshop well, but I am content to use other people's (There are a lot of people who make graphics for it online)

Overall I highly recommend it."
"Who killed captain alex","399 products in account","Posted: February 6","4 of 5 people (80%) found this review helpful
2 people found this review funny","Recommended","69.9 hrs on record","Posted: February 6
												In my high school you need to do some project to graduate, usually people do science stuff, but i have no time doing research and collect data so i decided to make a game and this program help me :)

Easy to learn. Every tools are thier for you to use. Amazing community."
"GuRu Asaki","27 products in account","Posted: June 3, 2016","9 of 11 people (82%) found this review helpful","Recommended","3.4 hrs on record","Posted: June 3, 2016
												So I checked out this Game on the Free Weekend... 

I have used like almost all the RPG Makers out there... 

Here is what i've noticed... 

RPG Maker 2k3 seems the best in Features, but programming is pretty good, 
but not great... It has a lot of features implemented already... 

RPG Maker XP is an Improvement, but the Graphix are more old school, 
& not a good... 

RPG Maker VX however drops some features, but it includes a more advanced 
Programming system this time around, & Graphix has improved... 

RPG Maker VX Ace drops even more features, but improves Programming 
even more... 

RPG Maker MV drops alot of features, but adds Java Script & Multi OS 
Support... 




All in all, i'd probably stick to RPG Maker 2k3, or XP, or RPG Maker VX, but if you want to 
Program for other OS, then MV is for you... 

I personally like 2k3 the best, but also use VX, sometimes... =D"
"JinBlades","160 products in account","Posted: October 24, 2015","11 of 17 people (65%) found this review helpful
1 person found this review funny","Recommended","42.4 hrs on record","Posted: October 24, 2015
												I've just started playing with this engine and so far I'm pretty happy with it.

Some major pros:
-The graphic style looks to be designed for mobile platforms
-The engine is easy to navigate and use
-Multi platform export options (obviously)

Major cons:
-The anime style and chibi characters might turn some people away
-Default resources are kinda scarce

Overall:
With a bit of creativity you can make tons of games unique using the default graphics,I have been a fan of the Rpg maker series for years and I own several. Mv is definitely my new favourite since VxAce, I like the few changes in art style and resolution.
This engine has a lot of potential, it's up to the users to discover it and use it.
That said the engine does lag a little and takes a bit of time to load things properly, I believe this is due to a tiny memory leak because it uses Javascript as Javascript is known to cause such issues.
I don't mind that because I like the engine and I will use it until the next engine in the series comes out even if it takes 100 years!"
"Rycoria","170 products in account","Posted: October 26, 2015","2 of 2 people (100%) found this review helpful","Recommended","142.0 hrs on record","Posted: October 26, 2015
												A massive list of major improvements make it worth your while!	
I LOVE RPG Maker MV. I've started a brand new project with it, and there's just so many moments where I'm like ""Wow..."" or ""Cool!"" or ""No Way!"" It's just designed so much better so your life while using it is that much less of a headache. It's extremely powerful and much more functional then any previous version of RM, even Ace. There's so many things about it that make you feel like, ""If only Ace had had this, it would have made my life, and my game, so much better."" And that's why it's so good. 

 PROS 
    A brilliant new GUI
    A fabulous new Character Editor - includes side view battler, the ability to save your character and come back to it
    Interwoven with Javascript - a major improvement over Ruby. The plugin system is a lifesaver. It just presents all of your options and parameters for you  
    Absolutely gorgeous built-in assets, so you can get straight into making your game and it looks GOOD
    Side-view battle!
    Event searcher! This will undoubtedly save my life
    Craploads of little additions like allowing enemies to appear mid-way through a battle, and other things that would require annoying scripting otherwise
    Tons of performance improvements for both the engine and the game itself
    Mac Support! Yay Mac users!
    iOS and Android export may take some effort, but BUILT-IN TOUCH SUPPORT AND EMULATION IS SO COOL
 CONS 

    It's crashed on me a couple times already. That is frightening.
    It's kind of annoying that I had to install the DLC and full database myself. Was worth it though.
    Little extra features like auto-aligining troops for side-view, more built-in battle customization and a NORMAL LOOKING ♥♥♥♥♥♥♥ BROWN EYE COLOUR WOULD BE NICE

In all seriousness, though, it's amazing. Sure you gotta do some of the work yourself, but this is GAME DEVELOPMENT SOFTWARE people! If you didn't come with the intentions of getting your hands dirty, you're in the wrong place!

I'm SUPER excited for how this software will develop in the coming months both from the development side and the community side, and I'm really looking forward to making incredible games with this baby!

Do you want to make games? Yes: Buy this.
Do you like previous versions of RPG Maker, but want more? Yes: Buy this.
Do you want to stop reading this long-♥♥♥ review and just buy it already? YES!!!!!!! BUY IT!"
"Arc Winchester","32 products in account","Posted: November 11, 2016","6 of 7 people (86%) found this review helpful","Recommended","216.6 hrs on record","Posted: November 11, 2016
												I highly recommend this program! I have RPG Maker XP, VX Ace, and MV, and MV is probably my favourite. Although there isn't a lot of DLC available for MV, it's much easier to use plugins if you're not familiar with coding and don't want or need to change the scripts.
It has more options for the character generator that actually match the default characters, the screen is bigger, and there are more options for tilesets and music. 
I highly recommend it for those looking to buy this kind of software!"
"Gamedawg","241 products in account","Posted: March 23, 2016","2 of 2 people (100%) found this review helpful","Recommended","3,530.5 hrs on record","Posted: March 23, 2016
												This is honestly the best version of RPG Maker."
"Renatim","156 products in account","Posted: October 27, 2015","2 of 2 people (100%) found this review helpful","Recommended","72.7 hrs on record","Posted: October 27, 2015
												MV is a huge improvement over other versions. It have flaws, but  all them are possible to be patched.
Its a good editor to make games!"
"Makya_HITW","169 products in account","Posted: June 26, 2016","5 of 8 people (63%) found this review helpful","Recommended","2.9 hrs on record","Posted: June 26, 2016
									Product received for free

												I really like this RPG Maker,not just because of the character making but also you can play your own RPG game on mobile phone.and i ya i seport this game and i wish it could be better map making in the following RPG Makers(^v^)"
"Flame-kun","77 products in account","Posted: September 8, 2016","3 of 4 people (75%) found this review helpful
9 people found this review funny","Recommended","137.7 hrs on record","Posted: September 8, 2016
												Laughing so hard when try randomize button on character generator.

11/10 would randomize again."
"Bad Luck Games","12 products in account","Posted: 27 February","57 of 62 people (92%) found this review helpful
2 people found this review funny","Recommended","255.5 hrs on record","Posted: 27 February
												I started with RPG Maker VX Ace, but later upgraded to MV when it went on sale. Even at full price, I highly recommend any user of RPG Maker to get MV (though I don't blame you if you wait until it is on sale). Either way, it's worth every penny. MV contains the functionality and flexibility of VX Ace (the previous release) with all kinds of new features that make it stand out. Such features include an improved character creator, more tilesets, editing during live play, and of course, more export and deployment options. My current game-in-progress is now an application on my phone, which I soon to hope to release on Google Play. This simply can't be done with VX Ace (or any previous release). Don't get me wrong - VX Ace was fantastic, but MV is just extraordinary. Enterbrain doesn't deceive - if I can learn to use RPG Maker, anyone can. In addition, I'm not a programmer by any stretch. And they're right - you don't have to be one. 

There are a few downsides I would like to point out. For example, while again, you don't have to be a programmer, I would be lying if I said it didn't help if you know what you're doing. Plugins quickly became very confusing to me. Once I got the hang of them, though, I learned how awesome they can be and how well they can enhance your games. I also was a little disappointed with the character creator, because you can make children actors/NPCs with it as well, but you only have girls, and only one choice of anything. Apparently you need to buy a season pass or something to unlock more choices, which I personally thought was kind of lame of them to do. 

The only other issue I have is how complicated deployment can be - I honestly had to use videos from YouTube to help me get the right software and do the right things. It's not rocket science by any means, but it is more challenging than I anticipated to put a game out there on mobile. Nevertheless, don't let my confusion discourage you. RPG Maker MV is by far the best version."
"IncrediKyle","40 products in account","Posted: March 10","5 of 6 people (83%) found this review helpful
4 people found this review funny","Recommended","181.0 hrs on record","Posted: March 10
												Bought this as a side project, now after the month line I've logged my 130th hour and counting.
When my first game launches I'm sure that it'll just be stratching the surface of the new tool I've stumbled across. Hooked already indefinitly and big plans for a set of games.
Easy to use, in the sense that anything you want to add to your game is dependant on your skill and effort, and most importantly on your ability to learn. I came into this with no coding knowledge and found myself at a disadvantage, until I learned and adapted myself. Anything is possible when you set your mind to it.
9/10
Everything you need except when you get into it nothing you need but everthing minus your work so good."
"Cinderspark","128 products in account","Posted: January 1","44 of 44 people (100%) found this review helpful","Recommended","445.3 hrs on record","Posted: January 1
												Alright, here's the thing about this program. It's amazing. As an artist, I understand how much effort has to go into each tileset and character and musical score. It makes sense that it costs money to get things for it, and the amount it gives you with the base software is fantastic for what it is. Game development is hard. A lot of people will never finish their games when they buy this, or will make a little base-pack romp and wonder why it gets bad reviews, but that's not this software's fault. The resources are there to make something amazing with this. But it's a tool. It's like buying a workshop, which includes a simple birdhouse kit, and then cursing the tools for the fact that all you can build is the birdhouse. You gotta work for it. You have to buy more wood. You have to practice your sawcuts, you need to buy better paints and brushes so the colors can be cleaner and more vibrant. With that workshop, you can build anything, but if all you can see is that one birdhouse, it'll never be what you want it to be."
"[LINUX] facePlanted","506 products in account","Posted: March 22","45 of 47 people (96%) found this review helpful","Recommended","2.2 hrs on record","Posted: March 22
												[LINUX REVIEW]
Yes it works, tested on Debian 8, fast and stable.
Testplay works, build for Linux works (and it doens't require any library/dependency), build for html5 works (tested with nginx), Steam Workshop works, import works, sound works, high refresh rate (120Hz) works.
Well done Devs, solid port and nothing bad no report."
"Renatim","156 products in account","Posted: October 27, 2015","2 of 2 people (100%) found this review helpful","Recommended","72.7 hrs on record","Posted: October 27, 2015
												MV is a huge improvement over other versions. It have flaws, but  all them are possible to be patched.
Its a good editor to make games!"
"LazrElectric","9 products in account","Posted: 17 October, 2016","202 of 211 people (96%) found this review helpful
122 people found this review funny","Recommended","1,815.5 hrs on record","Posted: 17 October, 2016
												1. Get this.
2. Start a project.
3. Make half your database.
4. Decide it's too hard, and give up.
5. Repeat steps 2-4 an indefinite number of times.
6. Decide to actually finish a game.
7. Spend a year making it.
8. Try to play it.
9. Bang your head in frustration when it doesn't work.
10. After three months and an extensive amount of JS knowledge, fix it.
11. Feel satisfied.
12. Repeat steps 8-11 until you're sick of fixing bugs.
13. Release your game.
14. Repeat steps 2-13 for all of eternity, because making games is so fun.

10/10 would get stuck in an infinite loop again."
"Erasmus Fandango","243 products in account","Posted: October 25, 2015","10 of 17 people (59%) found this review helpful","Recommended","95.6 hrs on record","Posted: October 25, 2015
												A lot of the negative comments about RMMV are from people who haven't taken the time to work out how to use the new engine. The character generator is excellent, much improved over VXAce, and allows you to quickly and easily make a variety of faces, field sprites and animated battlers with a few clicks. Furthemore, these graphics do not clash with the default resources (most of which are in a separate folder in DLC, to keep the file size of new projects down). the Database now starts off with only a handful of default weapons, skills and enemies, although all th animations are still there, and there are still a variety of reources included, they're just in ""BaseResource"" your DLC folder by default, something which a user can easily remedy by moving them to the ""NewData"" Folder, essentially allowing one to create a custom RTP with all the files one normally would import into any new project. 

Instead of RGSS Scripts, a new Java based plugin system is used. As someone with no programming knowledge, I much prefer this, as you can customise these much more easily. The included bonus plugins for the english release add a wealth of new features and optional tweaks, and are likewise incredibly customisable, using easy to understand menus rather than having to search through walls of code to find out how to change the size of a window or make a character move around the screen in battle animations for example. There are more than 40 plugins included in your DLC folder FOR FREE with every copy of RMMV, and the amount of things you can do with them is mesmerising. Now you can easily have skills cost HP, alter the menu and save screens, upgrade weapons, limit items, increase the default maximums, have text boxes that word wrap (FINALLY!), make the battle camera pan and zoom, have enemies chase you round the map, and just SOOOOO much more. My one criticism is that not inluding all these resources in each new project folder does mean that some people can get the impression that they don't exist. This is the best and most flexible version of RPG maker yet, and I've been using it since XP came out."
"Len","90 products in account","Posted: October 9, 2016","14 of 19 people (74%) found this review helpful
7 people found this review funny","Recommended","1,240.8 hrs on record","Posted: October 9, 2016
												I made a joey's world tour game"
"errade","80 products in account","Posted: November 1, 2015","3 of 4 people (75%) found this review helpful","Recommended","74.1 hrs on record","Posted: November 1, 2015
												I took a punt on this as I haven't played any of the previous games. Scratches that creative itch. If you can think of something you'd like to do it's generally possible to find a way. Wish it came with more assets, but it's not hard to source more yourself - or create them."
