username,products,date,helpfulness,recommendation,hours_played,body
"King Deltron","302 products in account","Posted: 22 March","150 of 177 people (85%) found this review helpful
2 people found this review funny","Recommended","2.5 hrs on record","Posted: 22 March
												So playing this, game is pretty solid for a port. Granted lack of mouse use, most of the negative reviews are solely just that. 

Graphically Nice
Feels natural on a controller
No fps issues 
No glitch issues

Overall a solid game/port and look forward to hunting with others."
"FiercestOne579","69 products in account","Posted: March 22","4 of 5 people (80%) found this review helpful","Recommended","3.7 hrs on record","Posted: March 22
												I came into buying this game under the thought that If I didn't like it or if it didn't work well like the firs one then I would refund it. I am glad to say I do not feel the need to refund this game. It runs much more smoothly then the previous port a tiny bit of lag but i feel that is based on my computer as it is below the requirements having an i5 and not an i7 core, however this lag is very miniscule and at times I forget that it is there, meaning this game is good to play even if you don't have an amazing computer. It keeps all the feels that I like abut monster hunter and adds an open world that greatly improves the hunt.  I would definetly suggest giving it a try if you are into these types of games."
"Zealheart","78 products in account","Posted: March 22","4 of 5 people (80%) found this review helpful","Recommended","22.4 hrs on record","Posted: March 22
												Really like this game, Reminded me of my days of monster hunter. Ahhh good times~

controls really well with gamepad
graphics are perfectly fine, no issues at all
really great port 

all and all, raelly great game to have and to play with friends, It feels LESS grindy since its an Open World now. good stuff"
"Cimzes","442 products in account","Posted: March 23","3 of 4 people (75%) found this review helpful","Recommended","6.1 hrs on record","Posted: March 23
												Toukiden 2 is a huge improvement from the first one and Kiwami. Not only in terms of the Port itself (aside from the lack of mouse support), but the new gameplay features and improvements are a real addition to the series. 

If you like action-hunting games like Monster Hunter, Freedom Wars or enjoyed the first Toukiden, buy this one. You won`t regret it! Great game, great fun! 

Runs at solid 60fps on my i5-4670k @3.2GHz / 8GB RAM / GTX 970 4GB"
"lagrie","255 products in account","Posted: 22 March","83 of 97 people (86%) found this review helpful
1 person found this review funny","Recommended","8.3 hrs on record","Posted: 22 March
												Toukiden 2.

Is a huge improvement to toukiden kiwami.
i saw lots of bad reviews turn up, and was worried that he port was the same as the first game.
30 fps, crashes, lag etc. (to i still enjoyed the first one allot)

Now is it better?
yes, the port runs great at 60 fps. Combat feels improved. its Toukiden but openworld.
Art style is great.
Characters (so far) are fun.
Story (so far) is kind of the same.
Gameplay, well its what makes these types of games amazing. its even better since its 60 fps.

Its a great game if you enjoy openworld type rpg's or like Hunter games.
its a dam good mix. And i do hope they will keep making the next entry like this.
improve uppon the things they did now.

So whats bad?
No mouse support. But thats about it actually... 
i play these types of games with a controller. Always have, always will.

Its refreshing to see that koei tried something new with one of there IP's.
and i encourage them to do so more and more.
The more they experement, the more of these types of new mix of games we will get.

Pc gaming is changing in a good way. More and more niche titles appear.
More and more console only games come to pc step by step.

I for such support this. 

Toukiden 2 is a great new entry in the hunting genre as in its franchise.

Enjoy the game."
"Jose Paguia","47 products in account","Posted: March 23","1 of 2 people (50%) found this review helpful
1 person found this review funny","Recommended","13.8 hrs on record","Posted: March 23
												GOOD:
- 60 fps
- great story
- awesome optimization
- sick replay value
- thousands of armors and weapons
- lots to do, tons of quests
- hours of gameplay
- literally 100 hairstyles
- kawaii waifus

BAD:
- keyboard controls is okay, but controller is 10x better


Summary:
One of the best games I ever played. I don't buy a lot of games on steam but this is definitely worth it if you're into Phantasy Star Online, Monster Hunter, God Eater, etc."
"Online","69 products in account","Posted: March 22","2 of 7 people (29%) found this review helpful","Recommended","0.4 hrs on record","Posted: March 22
												Cant start the game. After startup setting confirm. Toukiden 2 had stopped working. Anyone know how to fix that"
"Shin Asuka","41 products in account","Posted: March 22","7 of 8 people (88%) found this review helpful","Recommended","29.7 hrs on record","Posted: March 22
												I suck at monster hunter but this game make me god!"
"Shin Asuka","41 products in account","Posted: March 22","7 of 8 people (88%) found this review helpful","Recommended","29.7 hrs on record","Posted: March 22
												I suck at monster hunter but this game make me god!"
"Jaragnaros","271 products in account","Posted: March 22","6 of 10 people (60%) found this review helpful
1 person found this review funny","Recommended","15.7 hrs on record","Posted: March 22
												I'm absolutely loving this game, I'm writing this review early on in play time but so far no bugs, glitches or issues, the game runs smoothly. The story so far has been very interesting and entertaining and the open world element makes this so much fun, it's surpassed Kiwami that's for sure. Allowing us to visit the blacksmith and shops in multiplayer is a very welcomed improvement aswell, you no longer need to disband the group, improve your weapons and then reinvite/find a new game.

As far as monster hunters go this is top notch, I give it 10/10."
"GearSecond","273 products in account","Posted: March 23","3 of 5 people (60%) found this review helpful","Recommended","14.4 hrs on record","Posted: March 23
												This is a great game, and reminds me a alot of monster hunter for the 3ds

       - It a great looking game, visuals are pretty nice, actually feels as if im in a mmo like Tera for instance
       
       -Runs at 60 fps

       - Music in this game is nice as well
       
       -Combat in this game fun and challenging 

       -Lots of content and weapons to use, on a side note each weapon has it own combos and moveset that takes getting   used to  

       -Online seems to be a bit slow (probs my connection doe)

On my personal opinion I want to state that as Koei game i never expect to use the Keyboard and mouse, always a controller because to me Koei never makes using the keyboard fun. So if you have a controller, have fun but if not good luck."
"❥ Cheng Xiao ❣","314 products in account","Posted: March 22","15 of 24 people (63%) found this review helpful","Recommended","0.4 hrs on record","Posted: March 22
												i haven't got into deep gameplay (i assume it would be the same with some additions) and story yet, i'll update it later, this is my opinion so far.
this is what we will get in toukiden 2 that are better than the first one

+better graphic, and by better i mean a lot
+60 fps master race !!!!!
+EXCELLENT PORT !!!!
+better character customization, your slayer is now getting closer to be your dream waifu
+2 new weapons

-unfortunately, according to other players, the game has no mouse support <<<< this is the reason why this game got so many downvotes.

Since I'v already got an Xbox controller and loved the first game, I 've found no problem so far


For those who are deciding to buy this game.

-If you already got a controller and loved the first toukiden game, don't hesitate. You'll have eyegasm + feels coming in

-If you already got a controller but haven't played a toukiden game, as a person who really loved the first one, i'd recommend you to get it. Keep it in mind that it isn't as hard and challenging as Monster Hunter games, and the monster hunting isn't as deep too (no tools and planning, you just go out and smack them monsters down with faster combat system). As a Monster Hunter player aswell, I'm not gonna say which one is better, both games have their own charms that make them different from each other. These 2 franchises are my babies, I'm in love with both.

-If you got no controller, don't buy this game YET. Just get the cheapest controller you can find if you don't wanna invest the high-end ones. Believe me it's gonna be worth it.
Unless you are not into monster hunting games or you are a die-hard Monster Hunter fanboy overflowing with hate to other monster hunting games."
"Prof.Paradox","103 products in account","Posted: March 22","2 of 4 people (50%) found this review helpful","Recommended","13.5 hrs on record","Posted: March 22
												Runs solid, crashed twice but i turned of particles and it didn't crash anymore, free dlc  which gives you a skill that does random skills, always fun :p i give it an 8,5/10 really solid monster hunter like game."
"Jaragnaros","271 products in account","Posted: March 22","6 of 10 people (60%) found this review helpful
1 person found this review funny","Recommended","15.7 hrs on record","Posted: March 22
												I'm absolutely loving this game, I'm writing this review early on in play time but so far no bugs, glitches or issues, the game runs smoothly. The story so far has been very interesting and entertaining and the open world element makes this so much fun, it's surpassed Kiwami that's for sure. Allowing us to visit the blacksmith and shops in multiplayer is a very welcomed improvement aswell, you no longer need to disband the group, improve your weapons and then reinvite/find a new game.

As far as monster hunters go this is top notch, I give it 10/10."
"bkwrm","703 products in account","Posted: March 22","3 of 4 people (75%) found this review helpful","Recommended","14.8 hrs on record","Posted: March 22
												Extremely good game, just remember a few things:
A.  It's a hunting game.  And all this implies (seeing same enemies a lot, using body parts to craft gear, and so on).  If you enjoyed God Eater you will probably like it.
B.  Use a controller.  Extremely minimal mouse support, more importantly this type of game feels 10x better with a controller.  Sounds like you need to download the ps4 drivers yourself if you have a DS4 fyi.
C.  If you want the game to be harder, don't bring AI companions.  They are insanely good, can rez you, don't die themselves, and can kill most things without your help.  Just bring your waifu/husbando if you must.  Makes farming random parts a lot easier with a full party honestly.
D.  All the dialogue is in Japanese.  I consider this a plus mostly, but it is a bit off putting when you never know what their random comments in the game world mean.  So far the translation has been pretty good though.
E.  Max is 60 fps with 1080p resolution.  No freaking idea when this became a ""letdown"".  

So far I'm loving it.  Action is pretty fun, there's a ton of combat systems in place and I haven't tried most of the weapons yet.  Haven't gotten bored with my Weighted Sickle at all.  I've had no issues whatsoever when playing, maybe a tiny bit of slowdown during one fight that had tons of adds as well as my summons and a full team.  Otherwise runs flawless.  Haven't tried multiplayer yet, so can't comment on that.

Was worth every penny."
"Austin_Exe","133 products in account","Posted: March 22","10 of 67 people (15%) found this review helpful
8 people found this review funny","Not Recommended","1.8 hrs on record","Posted: March 22
												it made me fight the same boss 4 time (oger) then Kazue or whoever thats supposed to give me my quests completly disapeared from the game :0"
"Guts","32 products in account","Posted: March 22","7 of 11 people (64%) found this review helpful","Recommended","20.1 hrs on record","Posted: March 22
												I'm going to start by letting you all know that i am a HUGE monster hunter fan, i've probably put over 500+ hours on the MH games. Now since i live in Canada i have no access to the online version, i tried monster hunter 4 but its just not the sam e when playing in a small ♥♥♥ screen, i loved MHTRI alot and oplaying it on the big screen! Ever since then i`ve been on a quest of finding an alternative. When God Eater came out i was amped, even though the graphics was WAAAAY too `cartoony`for my liking, i tried to endure it... but when i found out that the game was region locked.. totally turned me off.. empty lobbies, have to go to different group chats to find people to play with and so on.. it was such a hassle.. so i gave up on it, i tried KIWAMI but by the time i started playing it was dead. Now, when toukiden 2 came out i bought it since it was onsale and wasn`t 80$ like every other game right now that just came out, so i tried it out. I`m going to be honest with you guys, i skipped the open world and tried to breeze through it, just till the multiplayer part anyways, ( im a hunter) i dont care about free roam, im searching for a solid drop in-drop out type of lobby style where you go get the quest and hunt! TBH with all of you the graphic style of the game was something youll really get used too after trhe training, its a mixture of MH and GE tbh honest with you (art style). I was amazed when i first saw the crafting system of this game, it gives the monster hunter feeling. Everytime i beat a new boss or type of animal a new set of armor pops up.. which is pretty cool, the HUGE thing i liked about MH is how you get to make armor out of the monsters you kill almost as if your showing off what you slayed but wearing their scales! Found its the same here in toukiden! I was skeptic about the whole Demon-Like types of monsters because in God-Eater their monsters were just.. too anime for me i guessÉ I was down for the whole dinosaur-monster like monsters that MH gives you. A few battles here and there and each new boss i see i end up loving! They transform into another form, and if anything they get harder than the monsters in monster hunter... i feel as if the monsters stay hard and challenging but at the same time the way they made it so you can heal yourself and use other awesome skills made the game a little easier, (a little). The game is still very challenging.. we did this exploration at tier 2 which had like 5 bossess in the dungeon which was really some sword art online feeling when your in that multi level boss dungeon,also you encounter this type of dungeon really earlier in the multi.. now i dont review alot of ♥♥♥♥ but this game is WORTH reviewing, the gameplay is so fricking smooth, the multiplayer is just top of the notch monster slying.. the demons are crazy.. they all turn into something crazier and playing this online is just... wow.. dont even get me started with the weapon crafting.. right off the bat you unlock like 30 difeernt types of weapons per weapon category (might bo overexatterated) but i didnt like a few monster hunter qwuests and ended up having a ♥♥♥♥ load of new weapon types to unlock.. also also also also THE ELEMENTAL FRICKING WEAPONS AND ARMORS ate you can unlock.. just.. wow.. and you know what.. this is only the beginning for me.. still cant wait to see whats in store... :) See you all in the game and i hope this sheds a fight light on your guys doubts abou tthis game.. this is THE BEST ALTERNATIVE FOR MONSTER HUNTER FANS! Join now..! The lobbies easy drop in and drop out.. join in anytime :) With built in mic as well! See you all in here guys, add me up! And most of all HAPPY HUNTING!"
"Lighting Yang","131 products in account","Posted: March 22","3 of 7 people (43%) found this review helpful","Recommended","0.7 hrs on record","Posted: March 22
												优化不错，hd5500 800x600 可以稳定3ofps"
"Dolce","553 products in account","Posted: March 23","No ratings yet","Recommended","8.2 hrs on record","Posted: March 23
												For Monster Hunter fans, I'd recommend Toukiden 2 if you'd like something with faster-paced combat and more story/character focus. Just make sure you have a controller."
"Assblaster the Master Disaster","360 products in account","Posted: March 22","2 of 4 people (50%) found this review helpful","Recommended","5.2 hrs on record","Posted: March 22
												A lot of fun if you have a controller, game sometimes crashes on launch but just give it another go and it should start. Only play if you have a controller though"
"Poljanan","27 products in account","Posted: March 22","3 of 5 people (60%) found this review helpful
1 person found this review funny","Recommended","1.6 hrs on record","Posted: March 22
												Koei made a working port. Think about that for a second."
"Prinny","252 products in account","Posted: March 22","3 of 5 people (60%) found this review helpful","Recommended","9.0 hrs on record","Posted: March 22
												I was expecting for the worst since the Toukiden Kiwami (pc) didn't launch the game for me (and have to refund it...), but it didn't. The game actually launched so I was able to enjoy myself on the beginning for awhile. No complication on my end, but we'll see as I progress. Can't wait to waste my Spring Break on this."
"Neoiel","1,178 products in account","Posted: March 23","3 of 5 people (60%) found this review helpful","Recommended","4.1 hrs on record","Posted: March 23
												Huge improvement over Toukiden 1 and Kiwami. It's taken forever for one of these Monster Hunter type games to embrace an open world design. Definitely doesn't feel like Koei-Tecmo's usual Warriors gimmick where they slap a couple new characters in it, rework the story a tad and release a bare bones sequel. They actually mixed it up a great deal. The character models are a lot better, and the character customization is much deeper. The Demon's Hand and ""soul dash"" mechanics make traversing the world fun. I've got an old GTX 770, I'm getting a solid 60 fps with settings maxed out. We finally got 60 fps, and in that regard the better port, because both PS4 and Vita are stuck at 30 fps. Sure there's no mouse support, Do people honestly not have a PS3/PS4, 360/Xbone controller lying around that they can plug into their pc's? If not, just use your keyboard and the lock on features to minimize the need for a mouse. But the game wasn't designed for mouse and keyboard, if you can afford these games new, go get a controller already. O.o 

My only gripes for Omega Force would be to try to better match Monster Hunter's difficulty. That and substantially up the world's graphics, with recent titles like Hyrule Warriors and Dragon Quest Heroes we know they're capable. Omega Force needs to step into the next generation already instead of tending to frequently hang two generations behind everyone else graphically. It's most likely the Vita that's holding everyone back. The game is a blast though. Hopefully as they perfect the hunting game formula they can eventually prod Capcom into playing with the big dogs again where big monsters belong----on the big screen. The 3DS 800 x 240 res 4.88' screen just doesn't cut it for slaying life sized dragons and it's a shame."
"King Deltron","302 products in account","Posted: 22 March","150 of 177 people (85%) found this review helpful
2 people found this review funny","Recommended","2.5 hrs on record","Posted: 22 March
												So playing this, game is pretty solid for a port. Granted lack of mouse use, most of the negative reviews are solely just that. 

Graphically Nice
Feels natural on a controller
No fps issues 
No glitch issues

Overall a solid game/port and look forward to hunting with others."
