username,products,date,helpfulness,recommendation,hours_played,body
"bULAN™","118 products in account","Posted: October 28, 2015","6 of 7 people (86%) found this review helpful","Recommended","19.1 hrs on record","Posted: October 28, 2015
												A very fun game, with a very high skill cap.
If you are going to buy this game, get ready to invest some hours into it as that is the only way to improve.

Have fun! :)"
"Swate","196 products in account","Posted: January 8, 2016","5 of 5 people (100%) found this review helpful","Recommended","1,195.2 hrs on record","Posted: January 8, 2016
												I play this too much.

I'm sure you've already heard numerous great things about this game. I can definitely agree to them. This game screams fun regardless of if you've played 1 hour or 1000 hours. Even if you're losing, you find yourself having fun. And that's the mark of a seriously great game, in my eyes.

Rocket League can be played casually or competitively, boasting both unranked and ranked queues. It is a simple enough concept that people are already familiar with even before playing their first game (it's damn soccer dude, if you don't know you've been living under a rock very far away from Europe, possibly on the moon Europa). But then, it has such an incredibly high skillcap. You'd probably still be learning new manouevres and the like well into 2000 hours (give it time though).

I don't play with a controller as I don't own one, but I know that 99% of people recommend controller over keyboard/mouse. And from an unbiased standpoint, I would agree, as the analogs make ball control and fine movement much easier than WASD or the like. Regardless, if you do choose to play keyboard like a dummie (read: like me), then consider making a custom bind that doesn't use the mouse.

I could go on and on. But I'll let the game do the talking; go buy it. Believe me, for $20, this is an absolute ♥♥♥♥ing steal. Best $20 I ever spent tbh.

10/10 would play again (actually am playing as I write this)

-Swate"
"fadee;","216 products in account","Posted: November 28, 2015","6 of 6 people (100%) found this review helpful
3 people found this review funny","Recommended","16.8 hrs on record","Posted: November 28, 2015
												In its exhilarating mix of chaos and control, Rocket League is as good a multiplayer game as any this year."
"TRU±PlayMaker","629 products in account","Posted: January 4","151 of 171 people (88%) found this review helpful
12 people found this review funny","Recommended","17.3 hrs on record","Posted: January 4
												IntroductionI've often found myself with little pockets of time in which I've wondered, ""What should I do now?"". You know, those moments in time where you have too little time to play a really lengthy, story-driven game (or League of Legends), but way more time than you can feasibly sit and idle. It's as if our prayers were collectively answered with this fantastic game from Psyonix; Rocket League.

Take out your controllers boys & girls, we're playing football....with cars.

GameplayI've been playing games like Fifa and PES from the glory '98 days, but eventually my interests changed. After all, it was simply a game of football. There is only so much you can do with human players. Apparently Psyonix thought outside of the box. What they delivered was simply a stroke of genius. Gone were the human players we were accustomed to. Instead, rocket-powered cars jetted their way across the map in record speeds. This wasn't enough though. They altered the map, super-sized the ball, and set each player in control of only one car at a time.

This formula gave birth to the high-intensity game of Rocket League. Your goal is to hit the massive ball into the opponent's goal. Sounds simple enough right? Wrong. With rocket jumps, speed boosts, rocket-propelled flight and the unique map shapes, you'll find yourself in an endless chase at breakneck speed for possession of the ball. While this game is absolutely beginner friendly, it has an insanely high skill-ceiling. In other words, no matter how good you think you are, there is someone who is leagues above you.

Each team can have up to 5 players, though the 3v3 format is the standard mode, and has a nice balance between chaos and fun. The potential teamwork between players is definiely one of my favourite aspects, and promotes friendly behavior for those epic goals. Don't be surprised if you get called out for accidentally hitting the ball away from the opponent's goal, or worse, hitting it into your own.

Quick-chat commands are rather peaceful, but after seeing 3 censored swear words, you'll probably get the idea. The sarcastic tones of ""What a Save!"" upon scoring a goal always gives me a chuckle, and the genuine compliments from opponents is a welcome breath of fresh air, and pride.

Car selection & customization should probably be a mini-game on its own. With a wide variety of colours, hats, boost trails and decals to choose from, you'll likely have more than a few saved presets that you'll cycle through. With an ever-growing roster of cars and cosmetics, there's plenty to appeal to everyone.

Speaking of appeal, there's much more than your classic game of football in Rocket League. Games such as basketball and hockey have found their way into the ever-growing list of game modes, and I often find myself cycling through them all quite frequently. Hell, even my 5 year old cousin loves it. Think you've got the skills to make it higher? You'll be happy to test your skills in the competitive mode. To be honest, I haven't really played much of this, since I prefer the other modes so much more.

VisualsDon't let its colourful nature confuse you, rocket league is one beautiful & optimized game. I was pleasantly surprised to discover how easy it was to run on even some old potatoes, and its ability to be quite visually appealing on higher settings. The explosions and particle effects are both colourful and beautiful. The cars are nicely detailed, and the animations are right on point. 

AudioIf you for some reason haven't listened to Rocket League's soundtrack, get it...now. I find myself upset that it's not on by default while playing, but there are plenty of workarounds to really listen and enjoy the music all year round. The tracks are entertaining and insanely high quality. 

Soundtrack aside, the regular SFX are no less impressive. Vehicle sounds, explosions, and the 'fake crowd' cheering are just a few of the many things this game has to offer for your audiophile needs.

Summary & ConclusionWhether you've got only 5 minutes to spare, or an entire afternoon, Rocket League offers hours of addictive fun that never seems to grow old. This unique spin on a timeless sport is sure to appeal to a very wide audience, and you can be sure that your experience is likely gonna be a great one.

For $20, this game is worth full price, but you can always get it on sale pretty often.
I rarely grant this one but,

10/10 - Just simply fun, addicting and worth every penny.

Props to the devs for showing that an independent team could release such a big hit without submitting to the horrible DLC practices of modern gaming.

======================================This endorsement approved by The Reviewers' Union,
providing better standards for reviews and reviewers.
======================================"
"""Season"" ""3"" ""Grand"" ""Champion""","48 products in account","Posted: December 1, 2016","14 of 23 people (61%) found this review helpful
17 people found this review funny","Recommended","2,618.7 hrs on record","Posted: December 1, 2016
												10/10 would get ♥♥♥ kicked by kuxir97 again"
"Menphues","1,788 products in account","Posted: January 22, 2016","7 of 9 people (78%) found this review helpful","Recommended","42.7 hrs on record","Posted: January 22, 2016
												So where do I start...

I read somewhere that the game is or was free for Playstation Live, yet PC users had to pay so that is extremely crappy!

Anyway, the game itself, that is why we are here.

Graphics: The graphics are actually pretty simple, pushed to the max that are nice to look at, simple and just nothing special really.  You do not need high resolution graphics for a game like this!

Audio: The audio is clear, crisp and really good to listen too, specially the rocket sounds of each trail you have, being different and acting different!

Controls: Depending how you play this game, the controls matter! I tried keyboard and mouse and although it is doable, it is a lot more complicated! I use an Xbox 360 controller to play this game, with BALL CAM always on and the game is suprt easy to master!

Gameplay: The gameplay is basically football but with cars... Nothing special or hard to get your head around.  There are some amazing players in the game, with some amazing shots you can make and for some odd reason, playing this game actually makes me intense and tense up at times, when taking a shot. 
The game is good fun and I would recommend this game if you like cars and/ or football... I hate football games but love car games and surprisingly this game offers an amazing balance of rockets, cars with a kinda football elemant, but in no way makes you feel like a football game.
The unlocks in the game you can get within a few hours, seriously it does not take long at all!

This game is now an E-Sports league thingy I heard, too which I am not interested in that but you can try to enter for it!

This is best to play with your friends, bringing you more fun.

Would I recommend this game? Yes!"
"Articulated Animal","681 products in account","Posted: July 12, 2015","8 of 9 people (89%) found this review helpful","Recommended","16.7 hrs on record","Posted: July 12, 2015
												I am a straight mess after playing this game. My throat hurts. My head hurts. I have been sweating non stop for the last 8 hours of gameplay. I will probably get noise complaints from my neighbors, and now I am completely exhausted. If that doesn't say ""good game"" then damn dude. 

The gameplay feels like if you made a football (soccer for you that care) game with the Trials (Evolution/Fusion) physics in mind. Tricky, akward, but once you get the feel for it fun as all get out. After figuring out the controlls I started finding my place in the team tactics. All the little unlockables are really fun too. I was running around in a pink buggy with a purple wizards hat, star decals on the side, a Saturn antenni bobble, and confetti coming out of my exhaust. I personally want rainbow sparkle exhaust, but I haven't unlocked that one yet. 

This game will gave you tourette syndrome. At least it did to me."
"Kung Fu Treachery","364 products in account","Posted: August 3, 2015","14 of 16 people (88%) found this review helpful
1 person found this review funny","Recommended","46.7 hrs on record","Posted: August 3, 2015
												I don't care about cars or football so i am surprised at how addictive and fun this is.

The good:
- Fast, fun and simple gameplay that is very easy to get in to.
- Great controls with controller support.
- You can make your car wear a viking helmet.
- Very nice and detailed graphics. You can see every single individual blade of grass on the field, it's actually pretty ludicrous that it runs at a constant 60fps.
- Thousands of people are playing the game so you can jump in to a match in about 20 seconds and it's (mostly) lag free.
- Did i mention you can make your car wear a viking helmet? That's a thing.

The bad:
- Not much. It could do with some more modes but i'm sure there will be many updates considering how popular the game is."
"Xafron Chi 宁 静","730 products in account","Posted: December 17, 2015","4 of 4 people (100%) found this review helpful
1 person found this review funny","Recommended","29.2 hrs on record","Posted: December 17, 2015
												Do you like soccer?  Do you like cars?  Do you like playing soccer with cars?  

Whoever came up with this idea deserves a freakin cookie.  The game is beautiful, the gameplay is perfect, the community is active and generally pretty fun, and the soundtrack is awesome.  You can customize your cars which is always fun.  Also, cross-platform multiplayer!  PC players and PS4 players all play together, which is always a nice feature.  

10/10 would drive up the arena wall and jump off to aerial ""kick"" the ball into the goal again."
"AngryWolf","164 products in account","Posted: July 9, 2016","7 of 9 people (78%) found this review helpful","Recommended","779.5 hrs on record","Posted: July 9, 2016
												HOTSHOT my friend already gave a fantastic review, so I will talk about one very important aspect to decide before buying the game:

Keyboards vs. Controllers
I never had to use a gamepad, okay sometimes I did for 2-player sessions on the same computer, but apart from that, this is the first time where I had to realize, controllers do give you the edge. And you need it if you don't want to uninstall the game after seeing others performing stunts practically impossible with the keyboard.

In a very fast-paced game like RL keyboard handling can easily turn out sub-par, as the followings are difficult to do:

Problems with keyboards
* Precision turning in a very short amount of time. Keyboard is not analog, so you have 2 choices: hold A/D/W/S and release when done, or tap those buttons in a rapid succession. You will find that you are going to be slower than guys with controllers.
* Acceleration and aerial turning forward is bound to the same key (W), so you would have to release W before flying in the desired direction. But, it is just too easy to forget, and you might end up forward flipping.

Not all controllers are supported!
This is one annoying feature, but after realizing that I would never become pro with a keyboard, I thought I could just dust off my old gamepad that I used to play NHL/FIFA/Mortal Kombat/NFS games with, but no, RL didn't even bother telling a message to me that, ""no I will just ignore your ***** controller!""

So you will need either an Xbox 360 controller for PC (either wired or wireless, doesn't matter, as long as it is for PC you will get a suitable USB cable with it), or what is better: an Xbox One controller for PC. Why better? People say the sticks feel better, so you will feel them easier to handle.

Oh yeah and PS controllers might work too but they aren't as convenient.

Will I need to install a driver?
No, at least on Windows 10 it's like plug and play.

How the controller works in the game
If you never had an Xbox controller like me, first thing to notice as a difference from regular controllers is that it has only 2 front buttons, rather than 4, and they will work like this:

Front right button: acceleration
Front left button: breaking / going backwards
Top left stick: turning (on ground and aerial)
A: jumping / pressing accept buttons in dialogs
B: nitro boost
X: drifting
Y: changing camera mode / pressing cancel buttons
Top right stick: camera angle
D-pad: navigation in the menu
Hardest parts are getting used to:

Accelerating and going backwards with the buttons on the front
Acceleration + nitro boosting + forward flipping at the same time (note: actually with nitro no need to accelerate)
Not accidentally hitting the jump button when you want to use the nitro boost.
Conclusion
At first it will be very hard to get used to the controller, it's like learning the game again, I actually went through the tutorials again, it felt really dumb. But keep practicing, because in the end I am pretty sure you will beat the guys using a keyboard having the same skill level as you."
"Dipsie8","169 products in account","Posted: July 23, 2015","13 of 15 people (87%) found this review helpful
2 people found this review funny","Recommended","303.2 hrs on record","Posted: July 23, 2015
												Played 50 hours in the Alpha and countless hours to come. It's an amazing game, bots are pretty challenging (they're better than some players), it's really hectic, you can still win from being 3-0 down, which gives a pretty good feeling."
"terrazh","197 products in account","Posted: 20 July, 2015","2,021 of 2,149 people (94%) found this review helpful
320 people found this review funny","Recommended","212.5 hrs on record","Posted: 20 July, 2015
												So, what makes this vehicular football game so great?

- Great gameplay
- Marvelous graphics
- Very competitive
- Alright singleplayer
- Tons of customization
- Easy to pick up, hard to master
- Up to 4-player splitscreen (!!)
- Cross-platform
+ Much more to experience for yourself!

Cons:
- Servers were pretty bad to begin with, but that's fixed now tho', so this should not count as a con.

Everything else that I would have written as a con, is currently being added, so I have no complaints about this game at all.

''Just one more game'' - everyone."
"Flex My Buns","31 products in account","Posted: October 21, 2015","4 of 4 people (100%) found this review helpful
1 person found this review funny","Recommended","2,367.7 hrs on record","Posted: October 21, 2015
												This game is like crack. It may look whack, but it's addicting."
"Articulated Animal","681 products in account","Posted: July 12, 2015","8 of 9 people (89%) found this review helpful","Recommended","16.7 hrs on record","Posted: July 12, 2015
												I am a straight mess after playing this game. My throat hurts. My head hurts. I have been sweating non stop for the last 8 hours of gameplay. I will probably get noise complaints from my neighbors, and now I am completely exhausted. If that doesn't say ""good game"" then damn dude. 

The gameplay feels like if you made a football (soccer for you that care) game with the Trials (Evolution/Fusion) physics in mind. Tricky, akward, but once you get the feel for it fun as all get out. After figuring out the controlls I started finding my place in the team tactics. All the little unlockables are really fun too. I was running around in a pink buggy with a purple wizards hat, star decals on the side, a Saturn antenni bobble, and confetti coming out of my exhaust. I personally want rainbow sparkle exhaust, but I haven't unlocked that one yet. 

This game will gave you tourette syndrome. At least it did to me."
"Captain Cuck","177 products in account","Posted: July 13, 2015","946 of 1,120 people (84%) found this review helpful
1,998 people found this review funny","Recommended","59.4 hrs on record","Posted: July 13, 2015
												More realistic than fifa"
"AyMeN","1,156 products in account","Posted: April 25, 2016","13 of 18 people (72%) found this review helpful","Recommended","225.7 hrs on record","Posted: April 25, 2016
												 Rocket League: a synonym to the word ""awesomeness"" I have played many soccer games like PES & Fifa for many years now and i absolutely loved them! and i have played many racing games in the past years but sadly i absolutely hated each one of them! so when i first heard about this game i got confused; how could they mix two things that are totally different (at least for me), and how well could it be? in the end i used my money to buy something else thinking that i'm not gonna like it anyways .. Luckily, they made this free weekend and i finally had the chance to try it out after a long period of waiting and to be honest i got totally amazed! i don't know how to describe the feeling but this game is just great.
 i didn't had the chance to play it for long because i wasted most of my weekend downloading it but here are some positive things about it: (i couldn't find anything bad about it anyways)
+ brilliant idea for a game
+ It's so easy to learn 
+ solid game-play and smooth controlling
+ Beautiful graphics, and it doesn't require a PC gamer to run
+ there is no fancy upgrades or items that gives you extra abilities
+ all the cars have the same speed and abilities, it's all about you and your skills
+ you can make your car look like whatever you want! customize it using your own style
+ full of players, this game is so alive
+ no bugs, no crashed
+ played for 6 hours strait, didn't see a single cheater, and everyone was so nice with me, it's so rare to find such a friendly gaming community nowadays so this is a big up for the game
+ infinity hours of fun 
I'm really glad i tried this gem, i want to give a big thank you to the developers for giving us such a generous chance to try it out
i enjoyed every single moment of the 6 hours i played but unfortunately i don't have enough money at the moments so i guess i'll miss this sale .. for now this game is in the top of my wishlisted games and i'll try hard to get it as soon as possible i can 
for the rest of you out there, i wonder why are you guys still here reading this review? just go buy it now! it's a must have one. 10/10

Edit: as you already know i bought this game and spent more 45 hours playing it, it's absolutely amazing! i'll update this review as soon as i feel i'm ready, stay tuned! :P"
"Freedom","200 products in account","Posted: January 21, 2016","111 of 130 people (85%) found this review helpful
182 people found this review funny","Recommended","2,242.8 hrs on record","Posted: January 21, 2016
												It's like football but you're the foot."
"Nobo","27 products in account","Posted: July 30, 2015","4 of 4 people (100%) found this review helpful
4 people found this review funny","Recommended","10.9 hrs on record","Posted: July 30, 2015
												I normally don't think football, but this has cars in it.

why the hell not"
"Rice][Cube","179 products in account","Posted: July 19, 2015","15 of 15 people (100%) found this review helpful
19 people found this review funny","Recommended","30.1 hrs on record","Posted: July 19, 2015
												you see the ball in the air
now is your opportunity
you jump into the air and start boosting
you hit the ball in the perfect spot
you can feel the anticipation as it flies toward the goal

...then your team mate comes out of the blue and knocks it away"
"Wyrix","525 products in account","Posted: March 12","19 of 28 people (68%) found this review helpful","Recommended","190.3 hrs on record","Posted: March 12
												Good game, the best driving game i have played. The game is fun but the community is just a bunch off traders 
(if you go to a guide in the comments there are only trade comments).
I recommend this game and you can play it anytime you dont have to play it 24/7 to be good at it. Its also fun with friends so i recommend at least playing with one friend in 2v2s"
"KiRiTo","433 products in account","Posted: November 25, 2016","4 of 4 people (100%) found this review helpful","Recommended","341.6 hrs on record","Posted: November 25, 2016
												one of the best games ever, i will never get bored of it :3"
"sweeej","180 products in account","Posted: August 12, 2015","5 of 5 people (100%) found this review helpful","Recommended","1,121.7 hrs on record","Posted: August 12, 2015
												I love this game."
"Life is Unfair like Tsubasa Said","44 products in account","Posted: February 12, 2016","4 of 4 people (100%) found this review helpful
1 person found this review funny","Recommended","24.2 hrs on record","Posted: February 12, 2016
												You bored with soccer game?
You bored with racing game?

The unique combination between soccer and recing game!

ROCKET LEAGUE HERE!

WEEEW! LOVE IT SO MUCH LOL!"
"Jimmy","1,839 products in account","Posted: September 15, 2015","17 of 25 people (68%) found this review helpful
11 people found this review funny","Recommended","2.3 hrs on record","Posted: September 15, 2015
												What's in a Name?

Naming sequels should be a straight forward process shouldn't it?
You can use the same name of the original and just slap a number on the end (or if you're going for ""Artsy"" a roman numeral for extra gravitas).

Sometimes people try to overcomplicate things unnecessarily which annoys me.

I can get on board with the whole, Alien, Aliens, Alien3 thing,

I've even made my peace with the Windows 7, Windows 8, Windows 10 fiasco
(Did they make a Windows 9? and was it so bad they had to lock it in the attic to hide it from the neighbours and feed it fish heads in a bucket when no one's looking?)

Anyway some naming systems for sequels defy logic, SimCity, SimCity 2000, SimCity 3000, SimCity 4 then back to SimCity again... that's just crazy!
It's either SimCity 5 or SimCity 5000.
Have a little consistency people!
(not that is really matters, SimCity 5 was crappy anyway).


What's in a Name II ?

But there are exceptions where I can forgive a sequel for not carrying the burden of its ancestors name.

For instance, do you remember a game called ""Supersonic Acrobatic Rocket-Powered Battle-Cars?""
Me neither and as such I'd be unlikely to show much interest in a title called ""Supersonic Acrobatic Rocket-Powered Battle-Cars 2""
(Even typing a title as long of that makes me sad).

However a game I have been playing recently (and thoroughly enjoying) has been the snappily titled ""Rocket League"" which the Steam store page confidently tells me is the sequel to the previously mentioned (and ridiculously named) battle-cars game.

So as I said, had Rocket League been released as ""Blah, Blah, Blah-Blah Blah-Cars 2"" I'm convinced I would have avoided the title and missed out on a gem!

But thankfully it wasn't and I didn't so here we are now!


What's in a Name III ?

Rocket League is a deceptively simple arcade, car racing and football (or soccer to our American friends) mash-up.

As a side note, I've never understood why American Football is called ""Football"", they play the ball with their hands right? so is it called football because handball was already taken?
Also, because the label ""football"" is (rightly or wrongly) used for a game played with your hands it results in a sport which is actually played with foot and ball being called ""soccer"".... it's not important but it does boggle my little mind.

Anyway... back to Rocket League.


Simple Soccer

The Football part of the mash up is a simplified version of ""the beautiful game"".
Each match takes place in a caged stadium so there's no need to worry about the ball going out of play, there are no corners or throw-ins, no fouls or offside rules, it's ""soccer"" boiled down to its purest form.
As you'd expect, there's a goal at each end of the pitch and one giant ♥♥♥ ball (it's bigger than the cars!) that you need to knock around the field.

Each match only lasts for 5 minutes but with most of the interruptions that slow down a regular footy match removed it makes for a frantic, adrenaline fuelled 5 minutes of non-stop action.
There are different stadiums to choose from too, you can even pick up more by way of DLC to keep the background looking fresh if you feel the need.


The Drive to Win

The driving side of the mash-up is where Rocket League really shines.
Gone are the egoistical, under-educated but overpaid human players that ""show-boat"" around the pitch during a ""real"" football match, here we have cars, gorgeous, acrobatic  rocket powered cars!
Winning games will unlock a whole wealth of upgrades and adornments for your vehicle too.
There are hats, flags, wheels, decals, you can even change the colour of the smoke that spews out the back when you fire up your rockets and hurtle across the arena.

These  customisation options are a huge amount of fun and give your chosen vehicle an element of individuality when you're playing (and if you're as talentless as myself, losing) against your peers online.
Maybe those go faster stripes really will make a difference in the next match...   (I need all the help I can get!)


Ball Control

As a football simulation Rocket League is a great driving game.
The handling of the various vehicles is surprisingly good and complimented by a very intuitive set of controls.
You'll need to dust off your game pad to get the most out of Rocket League, but it's totally worth it!
It's rare that I play a game where the controls feel so dialled in and natural.
It doesn't take long before you're hitting the controls without thought to make the car jump, flip and spin on command, of course doing this in the right location to make the ball go where you want is another matter.

""Easy to learn, hard to master"" are six words that definitely apply to Rocket League.


Tyre-Ball

The game itself is fantastic to play,  you can choose between intimate 1v1 matches all the way up to the mayhem you'll experience in a chaotic 5v5 match.
With a little (or maybe a lot) of practice you'll find yourself sliding and skidding your vehicle into position to intercept, pass and shoot the ball.

It's a great feeling when you manage to pull off an impressive move (whether accidental or not) and leaping your car into the air to nudge a high flying ball into your opponents goal is soooo satisfying, especially in an online match when you've got a real audience to admire you car-ball prowess.

There's a tutorial and single player mode too which are both vital if you want to learn the ropes before you take your newly fledged ""tyre-ball"" talents online.
If I could give you some advice to avoid annoying others and embarrassing yourself when you first fire up Rocket League it would be this:

""Practice before you start playing online!""
(Hey, that's six words again, spooky!)


Hear Me Roar!

So we know the game plays well, but what are the aesthetics like?
Well, the arenas are all beautiful and provide a pretty backdrop which you'll probably hardly notice as you zoom around the pitch.

The vehicles themselves are bright and varied with some neat customisation options (although I'm sad to say that ""go-faster stripes"" did not make me a better player).

The sound is of a high standard too, from the roar of the engines to the roar of the crowd, the atmosphere created by the audio gives the game an energy and intensity which heightens the whole experience.

Rocket League looks and sounds great!
(yes, I'm doing the six words thing on purpose now.)


What's in a name IV ? 

But can I sum rocket league up in six words?
hmmm...

Well there are cars battling to win the ball, let's call them battle-cars, they're rocket powered, maybe even supersonic and they are definitely acrobatic....

Maybe something like

""Supersonic Rocket Powered Acrobatic Battle Cars...""

although that does sound familiar...
It'd be a great name for a game though...

Wouldn't it?


Final Whistle

Whatever you want to call it, Rocket League is a polished, intuitive and extremely addictive alternative sports title.
I'm having a blast with it!

But remember, if you do come and join the fun (and you should) and if you encounter a player online with an unprecedented lack of skill (and go-faster stripes), take it easy on them...

It might be me!

For the full review (and others) please take the time to visit http://www.review-well.com/"
"Dogg","225 products in account","Posted: August 26, 2015","19 of 22 people (86%) found this review helpful
4 people found this review funny","Recommended","1,215.8 hrs on record","Posted: August 26, 2015
												Rocket League... I LOVE!

- Fast cars!
- Flying cars!
- Blowing people up!
- Ranked & Casual games!
- Completly destorying oppontants 15-0... also getting destroyed albiet not as pleasurable!
- Local Co-op (upto 4 players), multiple local player can also play against or with online players.
- Great replay features
- Spectator mode
- Very capable AI
- Not too bad community, most are friendly and respectful. Some are quite bitter!
- 5 min games keep you busy for HOURS! Literally! Time seems to fly playing this game.
- Offline season mode is... acceptable.
- Cant comment on DLC, dont own it.

The very worst thing to say to yourself when playing this game... ""ONE MORE!"""
"rapsodelopront","1,400 products in account","Posted: February 15, 2016","18 of 20 people (90%) found this review helpful
3 people found this review funny","Recommended","384.4 hrs on record","Posted: February 15, 2016
												I remember back when I was a kid and got my first RC Car.
It was an epic moment that I'll never forget.
Now I can enjoy that exiting feeling combined with the sports
I like, football. The idea is genuine and the concept is 
well done and simple. Hit an ridiculous large ball with 
parts of your car to transport it into the oppenen's goal.
The physics giving a good feeling. You need a bit of time
to get the ball movement at start. The different cars to choose 
are only cosmetic besides the more or less ""hitbox"".
I think the fair environment is part of the big success.
No pay to win or other advantages. 
Matchmaking is most times quick .
One thing I would wish for is an option not to join already
running matches.
Afterall I would say that the game is worth the price.
I had hours of fun playing together with friends.
Who is looking for kind teammates can write on my wall
to request an invite for my new RL dedicated group
called ""Rocket League Fair Play""."
"FDUXKING","13 products in account","Posted: July 11, 2015","10 of 11 people (91%) found this review helpful
4 people found this review funny","Recommended","32.0 hrs on record","Posted: July 11, 2015
												This game is worth every cent spent! My first game ended with my own team scoring an own goal with 3 seconds to go to lose the game 5-6. Easy flow graphics, with smooth gameplay and rocketing FPS.

Would recommend to anyone, even if you've never played Football (Soccer) before.

11/10"
