username,products,date,helpfulness,recommendation,hours_played,body
"Cinnamon Ghoul","1,023 products in account","Posted: July 25, 2016","6 of 7 people (86%) found this review helpful
3 people found this review funny","Recommended","15.9 hrs on record","Posted: July 25, 2016
									Product received for free

												Although there have been other games that throw Oregon Trail’s ideas into a zombie apocalypse, like some of the best roguelikes (Dungeons of Dredmor being another), Death Road balances its difficulty with a ton of humor and a lighthearted soundtrack. Whenever you lose a party member to zombie death or an unlucky bee sting, there’s some gag or funny line there to break the tension. 

In one playthrough, I:

Rode across the apocalypse in an ice cream truck
Lifted barbells in a zombie-filled gym, boosting my strength
Tore through the undead with a mop
Declined to purchase anime
Was attacked by ants in my sleep
Befriended an Elvis doppelgänger
Was ambushed by a ranting old man who, despite not looking dangerous, killed me

I also love that you can create and save custom characters—I re-created the duo from Zombies Ate My Neighbors."
"Bwooper","46 products in account","Posted: July 31, 2016","2 of 2 people (100%) found this review helpful
1 person found this review funny","Recommended","20.6 hrs on record","Posted: July 31, 2016
												A feral dog just stole my gun ??? Would recommend."
"Super Cosmic Space Pootis","171 products in account","Posted: February 4","1 of 2 people (50%) found this review helpful","Recommended","17.2 hrs on record","Posted: February 4
												This game gives the impression of a game made with love. It's bursting with charisma and charm!"
"Scythe M.D.","180 products in account","Posted: January 11","1 of 2 people (50%) found this review helpful","Recommended","38.8 hrs on record","Posted: January 11
												like markplier's vanish i still can't beat this !@#$ing game!!!

oh? um....? 4.5/5 it's pretty good i guess"
"ee:33","356 products in account","Posted: August 16, 2016","2 of 2 people (100%) found this review helpful","Recommended","0.9 hrs on record","Posted: August 16, 2016
												More than just a bunch of combat & survival gameplay, DR2C is a story creator. On my very first playthrough, I really felt invested in the characters I managed to save and recruit -- they had personalities, skills and weaknesses, and felt like real, fleshed-out characters. Their adventure was marked by funny moments, big losses and lucky finds. Their ending was brutal and tragic. I expect to have thoroughly different experiences on each playthrough and look forward to that."
"Missing","230 products in account","Posted: September 26, 2016","1 of 2 people (50%) found this review helpful
2 people found this review funny","Recommended","9.7 hrs on record","Posted: September 26, 2016
												An innovative take on the thoroughly explored fiction of zombie survival. In this game, the undead hordes are merely the physical expression of an abstract and more menacing enemy: the pseudo-random dice rolls of an unfeeling, deterministic computer program called ""Deus Ex Machina: Inverted Edition""."
"JoshuaUpham","99 products in account","Posted: October 15, 2016","11 of 12 people (92%) found this review helpful","Recommended","5.1 hrs on record","Posted: October 15, 2016
									Product received for free

												I loved Darkest Dungeon, the idea of sending a party of your friends into random situations is a great one. Death Road to Canada uses a similar system, however instead of walking through dungeons you are adventuring on to Canada. On your way to Canada you will experience a vast number of different events. These events can range from meeting travellers that end up joining your party to encountering bandit, bodybuilding enthusiasts. These events are the foundation for the game and offer plenty of re-playability to the game itself. 

Exploration
Moving on from the in-game events, lets address one of the negatives I have with the game, exploration. Each building you venture into is extremely lacking in the creativity department. Most buildings will be filled with gas, food and weapons. The problem is to find all of them, you will want to search every room, this creates very boring scenarios of you and your friend searching through empty rooms which are literally empty. They could have atleast added some furniture to make them feel more authentic, but instead if you enter a room with nothing but a bunch of garbage blocking off a door. You instantly know to turn around because it will be one of the MANY empty and pointless rooms in this game. Just to clarify my criticism here Is that the rooms are completely baron of ANYTHING, they didn’t have to contain usable items, but I would have liked to see these rooms contain some sort of personality or baring. Not only did this make exploration, long and arduous but it really encouraged players to skip exploring entirely If they already had enough supplies to last them a while. 

Visuals/Graphics
And now is the part of every review where I talk graphics. Now this game has that same pixelated art style we have all become VERY familiar with over the years. It seems that after one game tried using this retro look EVERY possible indie promotion started using it for reasons I can’t recognise. Luckily here it fits decently, as the world created around your survivors is wacky enough to fit the strange 80’s style visuals. 

Performance
No surprise here with its low CPU and GPU intensive graphics, the game runs fineand they offer you some nice, complementary options; fliters for the screen if you want to go full 80's mode, stylistic screen tearing toggle options and fully rebindable keys. I should also mention that all actions in the game can be changed on controller as well as the keyboard, when you are playing co-op with a friend I found that this was a nifty addition to controller users.

Music
As for the music, it’s quite strange. Normally in a zombie game where you’re fighting for survival you wouldn’t have fun up-beat music sounding off in the background. But much like the visuals it works well with the cheesy game the developers are creating. It took me a while to get used to it but after I did, I can’t imagine going back to the solemn soundtracks of past zombie games. 

Combat
Combat feels decent enough, it doesn’t take away anything from the game but it felt too basic to warrant praise of any kind. In combat you can use guns, melee weapons and explosives. Melee weapons use up your character’s stamina, your character’s stamina is measured in the traits your character has unlocked. Obviously more physically athletic survivors will be able to use their melee weapon for longer without getting tired. The gun play is fine, the game automatically locks on to zombies you are facing which works well enough. I am slightly dissapointed as it felt like the developers were catering a little too much to the controller users rather than the much more plentiful keyboard and mouse users, thsi is ecspecially the case with the gun play, it felt like their main goal was to dumb it down completely so that controller users wouldn't be left behind by the vastly superior PC controls. But in saying that, it's not necessarily a bad system of combat, I just feel like it takes away the benefit of using a keyboard and mouse to a slight degree, and let me highlight the word slight, this is a MINOR nitpick. 

Conclusion
Overall Death Road to Canada is a fun game to play with your friends, you can laugh at the random events that occur and dance to the funky music playing in the background while killing zombies constantly. However, without friends this game is quite bland, exploration is quite a linear experience and on your own the combat feels dreadfully average."
"Lolshot22","18 products in account","Posted: February 26","4 of 8 people (50%) found this review helpful","Recommended","0.5 hrs on record","Posted: February 26
												recommended but a little pricey"
"Yukimazan","70 products in account","Posted: November 24, 2016","5 of 6 people (83%) found this review helpful","Recommended","45.4 hrs on record","Posted: November 24, 2016
												This game is as addicting as it is similar to playing FTL but with zombies and decisions. You and your party have to escape to the borders of Canada since the USA is having a zombie apocalypse and oh boy, you will have a variety of choices and events in your journey since the destination is sort of like reaching Mt Everest or finding a lost treasure. In gameplay, you have to loot resources from places from food to gas, weapons, etc in order to survive the journey. But be careful, zombies in this game are numerous so you have to be hasty or cautious depending on what you're dealing with and have to battle your way in and out. You also have to plan ahead as your resources easily run out.

Pros:

+ Replayability (You will get a lot of game overs if you're not prepared. The fact you have plenty of customization as well as events to help you succeed is why it's really enjoyable whenever I repeat the game. Wanna go Leeroy Jenkins? Get a BERSERK character. Rather play safe and smart? Paranoid characters are your brains.)

+ Variety (Characters, weapons, events, cars, etc, I lost count how many events there are and some are even references to characters from games, movies, real life people, etc. I won't spoil who but it's a lot fun discovering the silly references the devs put in. The characters also have their own stats and traits so keep in mind on them. )

+ Customization (You can customize characters that you wanna put in like naming them  because they'll appear in the game when you find them. The strong parts are the traits and perks you can put in which have their pros and cons. They can help you or betray you depending on the situation)

+ Music (For a zombie apocalypse game, it sure fits well with some happy ones as well as 'LET'S KICK SOME ZOMBIE BUTT"" music. Very enjoyable. )

+ Graphics (Pixel art as the main art style, it's simple but it shows it really well. I do wish the characters faces look a little better but hopefully in a sequel or such, they'll make it better)

+ Dogs/Cats are playable (They can loot and shoot...SOLD! )

I don't have much cons for this game but I'll just give my little nit picks

Nitpicks:

- RNG (RNG is what makes the fun and despair of a game though I feel that a lot of bad stuffs happen more to me IMO. Though that's part of the fun so take this as a grain of salt.)

- More character customization ( I know this is a pro but I do want more clothes or at least a workshop for this game. If there's mods I would love to see it happen)

Overall, I give this game a 9/10. I would have given it a 10 if it had a lot more customization than now because the game literally screams for one. If this game were to get a sequel then I'd be a happy man. If you love zombies, surviving, FTL-like games, maybe this might be for you. Otherwise, just look at a video or 2 of gameplay and see if it convinces you to buy.

HIGHLY RECOMMENDED!"
"AN7AG0NIS7","113 products in account","Posted: November 9, 2016","3 of 5 people (60%) found this review helpful
3 people found this review funny","Recommended","10.4 hrs on record","Posted: November 9, 2016
												I guess it's a game about American refugees fleeing to Canada after a major disaster."
"Zidago","473 products in account","Posted: July 22, 2016","46 of 56 people (82%) found this review helpful
2 people found this review funny","Recommended","10.1 hrs on record","Posted: July 22, 2016
												I kickstarted this game an age ago on a whim, when I got fed up with waiting for Project Zomboid which it has become synonymous for.
Today, I finally decide to give it a go only a few hours before launch.
My surprised was welcome, as this is really fun. 
Like a beat-em-up crossed with Oregon Trail (or Organ Trail) the amount of replayability that is in this game is astounding.

These types of proceedural generated games can live or die on their variety and this game has it in spades. I have played through only 10 games so far, all dying and have loved nearly every moment of it.
There are downsides such as the graphics which on a small budget is understandable.
Also the music is grating at times, with the main theme chiptune track being the worst offender.
And be prepared to have this game crash often.

Pros
+The combat is simple but fun
+The stats for characters add a nice mechanic
+Has heaps of replayability
+Unique characters and scenes are great
+Good dev that is active on the forum and listens

Cons
-Crashes
-Very simple pixel graphics
-Music is hit and miss"
"Faux Fox","71 products in account","Posted: October 20, 2016","2 of 3 people (67%) found this review helpful","Recommended","3.0 hrs on record","Posted: October 20, 2016
												I had fun. Alone, and then with a friend. It's a barrel of laughs. Thumbs up."
"Mr.Choco (๑ゝω╹๑)b","112 products in account","Posted: August 29, 2016","2 of 4 people (50%) found this review helpful
2 people found this review funny","Recommended","1.8 hrs on record","Posted: August 29, 2016
												Pretty much this video sums up my experience



	
	
		YouTube™ Video: it's not just a boulder 
		
			Views: 450,966		
		
			subscribe!(: Don't own"
"Llewind","46 products in account","Posted: November 13, 2016","4 of 6 people (67%) found this review helpful
4 people found this review funny","Recommended","8.4 hrs on record","Posted: November 13, 2016
												Me and My Friend want to go to Canada.

We find Bruce Lee.

I learn amazing martial arts and gain an AK-47.

We find My Sister and a Corgi named Kevin.

Kevin dies while escaping a large factory.

My Friend dies in a large group of zombies in the sewers.

One day 'til Canada.

I die, with my martial arts and AK leaving with me.

My Sister dies to a siege.

9/10 Would get so far but lose again."
"dannyapproves","191 products in account","Posted: August 30, 2016","20 of 26 people (77%) found this review helpful
25 people found this review funny","Recommended","18.2 hrs on record","Posted: August 30, 2016
												I usually don't write reviews, but this game is different.

-be me
-someone tells me to buy this game
-manage to find 20 bucks lying around somewhere
-kcool
-start playing, expecting to play for 30 minutes
-end up playing for 7 hours more than you intended to
-day's almost over
-go and do something else
-immediately go back to playing it
-can't stop won't stop don't want to stop
-two days pass
-still can't stop playing
-GOTTA MAKE IT TO CANADA
-looting a town
-drive away in a new car you found 
-demon pops out of the floorboards
-proceeds to ask if you have any pizza
-damn
-offer him some chips
-thank god they're pizza flavoured
-he seems satisfied
-asks who you want to sacrifice
-without hesitation choose the newest person
-demon gives you big stat boost
-ohgodhelp
-call amberlamps I can't stop playing

10/10 best Oregon Trail esque game I have played in ages. Extremely addictive, Extremely fun."
"Whirbl","360 products in account","Posted: January 21","1 person found this review helpful","Recommended","6.9 hrs on record","Posted: January 21
												Oregon trail mashed up with a roguelike and beat-em-up. Greate sense of humour and awesome soundtrack."
"Awful_Lawton","73 products in account","Posted: March 20","2 of 5 people (40%) found this review helpful
1 person found this review funny","Recommended","37.1 hrs on record","Posted: March 20
												Great game.

Can't wait for the Sequel; Death Road To Murica!!"
"Knigts Order of Lord Flanders","38 products in account","Posted: July 31, 2016","1 of 2 people (50%) found this review helpful","Recommended","4.3 hrs on record","Posted: July 31, 2016
												Honestly this game is one of the best 8 bit zombie games out there!!! 9.5/10 its kinda ♥♥♥♥♥♥ those sieges but besides that its okay"
"Jarr","151 products in account","Posted: November 24, 2016","2 of 3 people (67%) found this review helpful
1 person found this review funny","Recommended","12.6 hrs on record","Posted: November 24, 2016
												So I made about every single TWD character with the character maker.

Started a game, I usually like to pick characters who would be together on the show but I thought I could spice it up for one. I chose The Governor and Negan to be the first to characters.

>Game starts normally
>Nothing too weird or exciting happens
>One day they raid a sports goods store
>Negan finds a baseball bat in that store
>I decide to have him weild it, just like in the show
>Few days pass, looking good
>Find Michonne on the side of the road
>Tensions rise between Michonne and the Governor
>Keep going until we find a factory
>We go deep into the factory and get a little lost
>Zombies start piling up
>Oh dear
>Negan is stuck in another room
>He has good weapons and I can't let him die
>Rush in after him
>Room is covered in zombies
>Negan is covered in zombies
>I watch him die before my eyes
>Michonne followed me in
>All the zombies following her are now in here'
>I'm pushed to the middle of the room
>Michonne leaves the room as I'm engulfed in walkers
>Governor and Negan are dead
>Michonne goes on for a few more days
>Huge seige alert
>Michonne has to survive 2 hours
>Pinned down in under one
>I walk into another room
>Zombies eating someone
>Police officer runs in
>All the walkers following him run in
>Flashbacks
>I'm in the center of the room
>I'm covered in walkers
>Game over

Such an end is fit for a killer like me
10/10"
"Wanderlusts","14 products in account","Posted: January 14","0 of 1 people (0%) found this review helpful","Recommended","17.6 hrs on record","Posted: January 14
												Her name was Ora, she was a dog, and this is her tail...*baddum tst*

I rescued Ora from a zombie infested apartment building, Ora had placed a banner out front which read ""Bark! Bark!"" Clearly a cry for help.

Ora became an invaluable member of the team, more than pulling her weight in combat, picking up grenades, and outting me for farting in the car via an extremely complex deductive process. However the defining victory of Ora was when heavily armed bandits and their totally not Immortan Joe leader had blocked the road before us and demanded all our food, weapons, supplies, and even our car! Ora had a plan, Ora always  had a plan. Ora proceeded to honk the horn, which amused the bandits to no end upon seeing an animal doing that. They let us through unharmed, we celebrated by robbing a lone trader.

Our merry band of jerks was not too stay bonded forever. We had stopped at a non-descript town to scavange for supplies, the zombies were out thick that day and so we had to do a lot more smashing, shooting, and running than usual. By the time we had picked the town clean it was swarming like a bee hive on Honey Day and we were firing all our guns to get out. In the Chaos I lost sight of Ora....I didn't notice her absence until we were in the car and pulling away...the last image I have of her is seared in my mind, valiantly wielding a golf club, hundreds of zombies closing in...

We died horribly just south of the border, and we deserved it for leaving Ora behind..

10/10 would purchase Melton the Cat from a witch for 15 hamburgers again."
"The Gunflinger","248 products in account","Posted: September 7, 2016","1 person found this review helpful","Recommended","12.8 hrs on record","Posted: September 7, 2016
												Death Road to Canada is a joyous romp through Florida on your journey to the zombie-free country of Canada, filled with guns, gas, and blood. It takes the formula of Organ Trail and beefs it up with a healthy dose of Dead Rising’s furniture-smashing chaos and Scott Pilgrim Vs. The Game’s retro Beat-Em-Up silliness and manages to combine it all into a fun, hilarious mess that’s addictive for hours on end. I’ve yet to make it to Canada alive yet, but where many games of its ilk have often made me give up on trying, Death Road to Canada’s optimism and forgiving nature made me feel that one day I could actually do it. Not to mention it’s a ton of fun! If there’s a game that could prove that the zombie genre isn’t quite out of fuel just yet, Death Road to Canada and the broken down lemon it rides around in is definitely that game.

http://tay.kinja.com/road-to-canada-the-notgoodforreview-1786255541"
"Brenton_Archer","147 products in account","Posted: July 29, 2016","1 person found this review helpful","Recommended","41.7 hrs on record","Posted: July 29, 2016
												SInce this game came out I have been playing it for a few hours, I really like the game and I just played three hours or so on this new update it improved quite a bit. Now I love the various encounters with famous people and dogs and even being able to create my own friends and family. I have gotten to the last siege of the game 9 times now and I still havn't gotten past it. But hey all the more challenging I think this is a wonderful game and its a more awesome idea so far I have met Elvis, Jason Voorhees, a bodybuilder type that doesnt seem to have any attacks, an old women that can box, a luchadore, ALOT of diff. dog breeds, I love how th UI is set up and really like the little stats each person has and that you can even upgrade the traits by completing the random things the upgrades tell you to do  and how to get it and what not I really like the music and very catchy even going as far as catching myself humming it every once and awhile. Im so excited to see more of the updates to come out and I really want to see what type of potential this game has.
TL:DR-I LOVE DA GAME IT GOOD!"
"✧Skeptic✧ (Your Local ADC)","30 products in account","Posted: January 21","2 of 3 people (67%) found this review helpful","Recommended","26.4 hrs on record","Posted: January 21
												Stalin told a group of survivors to cool down... got kicked out for being rude


10/10 would cool down again"
"Danbrochill","194 products in account","Posted: July 24, 2016","4 of 8 people (50%) found this review helpful","Recommended","16.3 hrs on record","Posted: July 24, 2016
												a solid 5/7

Insanely fun"
"Sabrebear","216 products in account","Posted: November 4, 2016","2 of 3 people (67%) found this review helpful","Recommended","6.3 hrs on record","Posted: November 4, 2016
												An top down survival horror affair. Like Organ Trail but with more action and less Rest (4 Hours). It keeps the tone light and campy-- Canada is the last surviving nation in the world, escape to it and live out the zombie apocalypse.

As an example of a winning game: I started with two random characters because I was tired of getting my brother and I killed by zombies. Turns out I met both myself and my bro on the way there. I died to zombies, and my brother made it to a scientific lab alone, where a ""science machine"" turned him INTO A DOG. He then proceeded to drive the car all the way up to Canada, where he became what I assume must be the first honorary talking, sentient dog-citizen of the Great Nation of Canada. This, after fighting off the incoming hordes with a chainsaw and the aid of the Mounties.

The permadeath is frustrating, but the lighthearted writing and sharp, simple gameplay will keep you coming back until you make it to America's Hat."
"ee:33","356 products in account","Posted: August 16, 2016","2 of 2 people (100%) found this review helpful","Recommended","0.9 hrs on record","Posted: August 16, 2016
												More than just a bunch of combat & survival gameplay, DR2C is a story creator. On my very first playthrough, I really felt invested in the characters I managed to save and recruit -- they had personalities, skills and weaknesses, and felt like real, fleshed-out characters. Their adventure was marked by funny moments, big losses and lucky finds. Their ending was brutal and tragic. I expect to have thoroughly different experiences on each playthrough and look forward to that."
"$$Cash Money McBaggin$$","466 products in account","Posted: July 25, 2016","6 of 10 people (60%) found this review helpful
8 people found this review funny","Recommended","78.6 hrs on record","Posted: July 25, 2016
												The hardest Part is getting out of Florida"
"BrainDrained","278 products in account","Posted: December 23, 2016","1 of 2 people (50%) found this review helpful
2 people found this review funny","Recommended","13.7 hrs on record","Posted: December 23, 2016
												THIS GAME MAKES ME VERY HAPPY

STILL HAVEN'T MADE IT TO CANADA."
"Bu Bu Desu Wa","51 products in account","Posted: July 28, 2016","8 of 8 people (100%) found this review helpful","Recommended","58.2 hrs on record","Posted: July 28, 2016
												I got this game 2 days ago and I have played basically non stop. It's fun. The replayability is great and the game is highly addictive"
"Dizzery304","39 products in account","Posted: February 21","4 of 7 people (57%) found this review helpful","Recommended","35.4 hrs on record","Posted: February 21
												one of the best zombie games i have ever played

you start a journey from florida to canada facing the harsh waste of the death road gathering supplies, killing zombies, recruting people, and make your own people (and see them die in funny ways)

and who doesnt like seeing dogs learning how to drive and talk XD"
"thunderbreak","326 products in account","Posted: July 25, 2016","51 of 104 people (49%) found this review helpful
5 people found this review funny","Not Recommended","13.5 hrs on record","Posted: July 25, 2016
												Basically RNG: The Game. 

Everything in this game is RNG, essential supplies is from RNG, HEALING event is RNG (WTF?), recruitment is from RNG, events are RNG (Usually never good, just RNG of which bad events you get), and the RNG in the game is designed against you.

The first layer of RNG is the crashes, if you survived that and thought you are good, don't worry, you are not, the rest of the RNG is by design.

For example, I made a healing character, had plenty of med supplies, but that character will never trigger the healing event even though people are almost dead. Then later down the road she died trying to pull her teeth out even though according to the dialog choice she use to be a dentist. 

Or another example, I made a mechanic to fix cars, but the game always insist on making my healer fix the car. And of course she can't fix the car because her stats in mechanics is too low, so on top of losing the car, she's also in a bad mood, which if low enough the member will leave permanantly.

Also your main NEEDS to be an mechanic because the moment you are on foot when your car breaks down, you either get robbed of all your supply (you can choose to fight the bandits but the RNG never let me win yet), or you lose your life tripping and hurt yourself on flat road (again WTF?). And once your food is all robbed, and your healing supply is all used up, your mood drops to rock bottom, and your character automatically leave the team, even your main character. And then it's game over.

There are so many more problem with this game I just can't be bothered listing them all at this time. The game don't feel complete, interface needs some ironing out, game needs SERIOUS re-balance. And the bugs is in your face, I'm certain the only reason the game have a save feature at all is for crashes. I mean you can't save manually, and you can't leave the game and come back either, I tried and my save is gone once I re-launched the game.

Not adviced to purchase until the game is fixed."
"Canadian Gold","42 products in account","Posted: November 27, 2016","6 of 7 people (86%) found this review helpful
1 person found this review funny","Recommended","10.9 hrs on record","Posted: November 27, 2016
												Very Fun Co-op play, even more fun when your stuck with the dog lover perk and thats all you can find, Dogs with Guns"
"Dancing Cow!","172 products in account","Posted: February 4","3 of 6 people (50%) found this review helpful
1 person found this review funny","Recommended","9.0 hrs on record","Posted: February 4
												Gets to play with santa on Xmas day, gets him to max strenght and fitness, becoming a god of destruction.

10/10 would smash with santa anytime"
"FalloutKitty","31 products in account","Posted: October 7, 2016","1 of 3 people (33%) found this review helpful
5 people found this review funny","Recommended","19.6 hrs on record","Posted: October 7, 2016
												I made my best friend and myself. We were killin it. We found two dogs, a poodle we didn't trust named Peyton, and a Husky we loved named Veer. We walked into a fancy house and we both died. Veer took over. He drove Peyton around barking at wildlife and drooling. They found my boyfriend on the side of the road playing video games and picked him up. He died right away. Veer dies as well trying to save him. He was a good dog. Peyton is the only one left. I still didn't trust him. He finds OctoDad on the side of the road, he finally gets in the car. They go to a junkyard for gas and Octodad dies. Then Peyton dies on the way out. Doesn't surprise me everyone dies and Peyton was left. 10/10 for suspcious dogs."
"Poison Mushroom","377 products in account","Posted: December 29, 2016","1 of 2 people (50%) found this review helpful","Recommended","11.9 hrs on record","Posted: December 29, 2016
												One part Zombieland, one part roguelike, and one part 2d action brawler, DRtC is the game that we all hope every zombie game will be. It is the game every zombie game promises to be. It's very specifically the game Organ Trail promised it would be.

I wish I was articulate enough to explain why this game is so good, why it's such a delight to play, and why it's so addictive. I can't, but I hope however high my hours played gets for this will serve as a testament.

Death Road To Canada is very, very good, and you should buy it."
